Wochentag,Zeit (h),Geschwindigkeit (km/h)
Montag,1.5,18
Dienstag,2.0,20
Mittwoch,1.8,19
Donnerstag,1.6,21
Freitag,2.1,20
Montag,1.7,18
Dienstag,2.2,19
Mittwoch,1.5,20
Donnerstag,1.8,21
Freitag,2.0,20
Montag,1.6,22
Dienstag,1.9,19
Mittwoch,2.1,20
Donnerstag,1.7,21
Freitag,2.0,20
Montag,1.5,18
Dienstag,1.8,20
Mittwoch,2.2,19
Donnerstag,1.9,21
Freitag,2.0,20
Montag,1.6,18
Dienstag,2.0,20
Mittwoch,1.5,19
Donnerstag,1.8,21
Freitag,2.1,20
Montag,1.9,18
Dienstag,2.1,20
Mittwoch,1.6,21
Donnerstag,2.0,19
Freitag,1.7,20
Montag,1.8,18
Dienstag,2.0,21
Mittwoch,1.6,19
Donnerstag,2.1,20
Freitag,1.9,20
Montag,2.0,21
Dienstag,1.8,19
Mittwoch,1.7,20
Donnerstag,2.0,21
Freitag,1.9,20
